1;2;10;19;25;29;;;
2;25;19;;;;;;
3;10;25;32;27;1;12;19;31
4;27;6;;;;;;
5;9;28;27;7;1;19;2;
6;19;2;;;;;;
7;17;3;28;4;;;;
8;4;27;19;2;6;;;
9;4;27;28;6;;;;
10;25;2;19;;;;;
11;34;28;27;29;;;;
12;27;2;;;;;;
13;10;25;;;;;;
14;1;19;;;;;;
15;28;27;1;29;;;;
16;27;2;;;;;;
17;28;29;2;;;;;
18;28;19;;;;;;
20;6;28;27;;;;;
21;2;;;;;;;
22;12;2;;;;;;
23;34;17;19;;;;;
24;36;32;;;;;;
25;19;;;;;;;
26;1;19;;;;;;
27;28;19;29;2;31;6;;
28;19;6;;;;;;
29;31;2;19;;;;;
30;19;2;;;;;;
31;19;;;;;;;
32;10;25;27;19;;;;
33;19;;;;;;;
34;28;33;19;29;31;;;
35;2;;;;;;;
36;17;19;7;;;;;
